POST   /v1/customer/customer-organizations/options/batch  |  Get customer organization options by IDs  |  [customer] Customer Options
POST   /v1/customer/customers/options/batch  |  Get customer options by IDs  |  [customer] Customer Options
POST   /v1/customer/departments/options/batch  |  Get department options by IDs  |  [customer] Customer Options
POST   /v1/customer/staff/options/batch  |  Get staff options by IDs  |  [customer] Customer Options
POST   /v1/customer/teams/options/batch  |  Get team options by IDs  |  [customer] Customer Options
POST   /v1/customer/ticket/priorities/options/batch  |  Get ticket priority options by IDs  |  [customer] Customer Options
POST   /v1/customer/topics/options/batch  |  Get topic options by IDs  |  [customer] Customer Options
GET    /v1/customer/profile  |  Get customer profile  |  [customer] Customer Profile Management
GET    /v1/customer/tickets/brief/{id}  |  Get ticket brief information  |  [customer] Customer Ticket Management
GET    /v1/customer/tickets/number/{code}  |  Get ticket detail by number  |  [customer] Customer Ticket Management
POST   /v1/customer/tickets/number/{ticketNumber}/timeline  |  Get ticket timeline by number  |  [customer] Customer Ticket Management
POST   /v1/customer/tickets/page  |  Query customer tickets with pagination  |  [customer] Customer Ticket Management
GET    /v1/customer/tickets/statistics  |  Get ticket statistics  |  [customer] Customer Ticket Management
POST   /v1/customer/tickets/statistics/ai-summary  |  Generate AI summary from statistics  |  [customer] Customer Ticket Management
GET    /v1/customer/tickets/{id}  |  Get ticket detail by ID  |  [customer] Customer Ticket Management
GET    /v1/customer/tickets/{ticketId}/form-entries/{topicId}  |  Get ticket form entries  |  [customer] Customer Ticket Management
POST   /v1/customer/tickets/{ticketId}/timeline  |  Get ticket timeline by ID  |  [customer] Customer Ticket Management
GET    /v1/customer/websocket/stats  |  Get basic WebSocket stats  |  [customer] Customer WebSocket
GET    /v1/customer/auth/current  |  -  |  [customer] customer-auth-controller
PUT    /v1/customer/auth/language  |  -  |  [customer] customer-auth-controller
POST   /v1/customer/auth/login  |  -  |  [customer] customer-auth-controller
POST   /v1/customer/auth/login/iam  |  Customer IAM login  |  [customer] customer-auth-controller
POST   /v1/customer/auth/logout  |  -  |  [customer] customer-auth-controller
PUT    /v1/customer/auth/password  |  -  |  [customer] customer-auth-controller
POST   /v1/customer/auth/switch-tenant  |  -  |  [customer] customer-auth-controller
GET    /v1/customer/auth/tenant  |  -  |  [customer] customer-auth-controller
GET    /v1/customer/auth/tenants  |  -  |  [customer] customer-auth-controller
GET    /v1/customer/auth/validate  |  -  |  [customer] customer-auth-controller
GET    /v1/iam/chat/agent/business-hours  |  Get Business Hours  |  [iam] Chat API
POST   /v1/iam/chat/session/sync  |  Sync Staff Session Status  |  [iam] Chat API
POST   /v1/iam/customer-organizations/best-match  |  Get best matching organizations by name  |  [iam] Customer Organization API
POST   /v1/iam/customer-organizations/page  |  Page customer organizations  |  [iam] Customer Organization API
POST   /v1/iam/extend/facility/page  |  Page query facilities  |  [iam] Facility API
GET    /v1/iam/extend/facility/{id}  |  Get facility by ID  |  [iam] Facility API
POST   /v1/iam/dashboard/staff/department-count  |  Get staff counts by department  |  [iam] IAM Staff Dashboard
POST   /v1/iam/dashboard/ticket/activity-stats  |  Get ticket activity statistics by department  |  [iam] IAM Staff Dashboard
POST   /v1/iam/dashboard/ticket/average-resolution-time  |  Get average resolution time statistics by department  |  [iam] IAM Staff Dashboard
